Valor de Referencia gr,Medicion
1,-1.9
1,-1.3
1,-0.3
1,1
1,1.6
10,6.7
10,6.5
10,5.8
10,6
10,7.1
20,20.4
20,18.7
20,18.3
20,18.7
20,17.6
50,49.3
50,48.8
50,48.1
50,47.7
50,48.3
100,98.1
100,96.7
100,95.3
100,95.1
100,95.1
200,198.7
200,196.7
200,195.7
200,194.5
200,194.3
500,501.7
500,503.3
500,502.7
500,501.8
500,501.8
1000,1011.9
1000,1008.9
1000,1008.3
1000,1007.1
1000,1005.3
2000,2016.9
2000,2013.9
2000,2011.8
2000,2009.8
2000,2007.6
5000,5152.8
5000,5183.9
5000,5079.3
5000,5095.1
5000,5095.5
10000,10166.5
10000,10170.9
10000,10172.7
10000,10179.2
10000,10176.1
20000,20340
20000,20586
20000,20425.3
20000,20505.9
20000,20474
50000,49209
50000,54089
50000,53856
50000,53872
50000,56807
